label,Beacon_1,Beacon_2,Beacon_3,Beacon_4,Beacon_5,Beacon_7
601R,0.966101695,0.813559322,0.559322034,0.389830508,0.440677966,0.457627119
601R,0.898305085,0.762711864,0.576271186,0.457627119,0.440677966,0.457627119
601R,0.966101695,0.847457627,0.576271186,0.457627119,0.338983051,0.457627119
601R,0.93220339,0.847457627,0.542372881,0.457627119,0.338983051,0.457627119
601R,0.93220339,0.847457627,0.559322034,0.542372881,0.338983051,0.525423729
601R,0.983050847,0.830508475,0.508474576,0.559322034,0.389830508,0.457627119
601R,0.983050847,0.762711864,0.593220339,0.542372881,0.423728814,0.525423729
601R,0.966101695,0.762711864,0.542372881,0.474576271,0.423728814,0.525423729
601R,0.966101695,0.762711864,0.559322034,0.474576271,0.423728814,0.525423729
601R,0.93220339,0.745762712,0.542372881,0.491525424,0.389830508,0.542372881
601R,0.966101695,0.745762712,0.508474576,0.491525424,0.389830508,0.542372881
601R,0.966101695,0.762711864,0.559322034,0.440677966,0.457627119,0.508474576
601R,0.93220339,0.728813559,0.559322034,0.508474576,0.389830508,0.559322034
601R,0.949152542,0.813559322,0.525423729,0.457627119,0.305084746,0.491525424
602,0.728813559,0.762711864,0.576271186,0.474576271,0.474576271,0.423728814
602,0.762711864,0.762711864,0.644067797,0.406779661,0.440677966,0.525423729
602,0.762711864,0.847457627,0.711864407,0.542372881,0.593220339,0.593220339
602,0.694915254,0.762711864,0.661016949,0.338983051,0.440677966,0.508474576
602,0.762711864,0.830508475,0.661016949,0.627118644,0.576271186,0.576271186
602,0.728813559,0.779661017,0.661016949,0.593220339,0.508474576,0.322033898
602,0.677966102,0.745762712,,0.338983051,0.491525424,0.542372881
602,0.694915254,0.796610169,0.661016949,0.338983051,0.542372881,0.542372881
602,0.711864407,0.796610169,0.559322034,0.491525424,0.440677966,0.389830508
602,0.728813559,0.830508475,0.559322034,0.576271186,0.559322034,0.542372881
602,0.728813559,0.847457627,0.644067797,0.474576271,0.440677966,0.474576271
602,0.728813559,0.745762712,0.457627119,0.305084746,0.457627119,0.508474576
602,0.711864407,0.745762712,0.457627119,0.559322034,0.457627119,0.508474576
602,0.694915254,0.796610169,0.457627119,0.559322034,0.474576271,0.406779661
602,0.728813559,0.779661017,0.576271186,0.237288136,0.474576271,0.508474576
602,0.694915254,0.813559322,0.728813559,0.610169492,0.542372881,0.576271186
602,0.694915254,0.779661017,0.610169492,0.322033898,0.474576271,0.491525424
602,0.711864407,0.779661017,0.728813559,0.322033898,0.474576271,0.491525424
602,0.677966102,0.796610169,0.728813559,0.457627119,0.474576271,0.355932203
602,0.694915254,0.796610169,0.762711864,0.423728814,0.542372881,0.457627119
602,0.694915254,0.779661017,0.661016949,0.508474576,0.491525424,0.457627119
602,0.694915254,0.779661017,0.661016949,0.305084746,0.491525424,0.457627119
602,0.762711864,0.813559322,0.661016949,0.525423729,0.491525424,0.474576271
602,0.711864407,0.813559322,0.661016949,0.440677966,0.457627119,0.389830508
602L,0.728813559,0.661016949,0.593220339,0.525423729,0.491525424,0.355932203
602L,0.728813559,0.745762712,0.542372881,0.525423729,0.372881356,0.491525424
602L,0.677966102,0.661016949,0.542372881,0.491525424,0.338983051,0.338983051
602L,0.711864407,0.661016949,0.542372881,0.627118644,0.13559322,0.440677966
602L,0.627118644,0.694915254,0.542372881,0.644067797,0.389830508,0.440677966
602L,0.627118644,0.694915254,0.237288136,0.559322034,0.271186441,0.305084746
602L,0.610169492,0.694915254,0.237288136,0.559322034,0.271186441,0.305084746
602L,0.423728814,0.694915254,0.271186441,0.457627119,0.271186441,0.508474576
602L,0.610169492,0.762711864,0.271186441,0.661016949,0.372881356,0.593220339
602L,0.610169492,0.644067797,0.457627119,0.559322034,0.559322034,0.559322034
602L,0.661016949,0.644067797,0.525423729,0.559322034,0.559322034,0.559322034
602L,0.694915254,0.542372881,0.525423729,0.576271186,0.559322034,0.525423729
602L,0.457627119,0.661016949,0.525423729,0.576271186,0.508474576,0.474576271
602L,0.457627119,0.661016949,0.576271186,0.661016949,0.457627119,0.576271186
602L,0.457627119,0.542372881,0.627118644,0.610169492,0.508474576,0.576271186
602L,0.542372881,0.661016949,0.627118644,0.457627119,0.491525424,0.474576271
602L,0.576271186,0.627118644,0.627118644,0.610169492,0.542372881,0.508474576
602L,0.355932203,0.694915254,0.440677966,0.491525424,0.542372881,0.474576271
602L,0.711864407,0.762711864,0.694915254,0.491525424,0.542372881,0.474576271
602L,0.677966102,0.576271186,0.474576271,0.576271186,0.576271186,0.508474576
602L,0.694915254,0.711864407,0.593220339,0.677966102,0.305084746,0.508474576
602L,0.491525424,0.644067797,0.610169492,0.627118644,0.593220339,0.508474576
602L,0.423728814,0.644067797,0.474576271,0.423728814,0.525423729,0.491525424
602L,0.627118644,0.644067797,0.440677966,0.559322034,0.559322034,0.491525424
602L,0.627118644,0.694915254,0.355932203,0.559322034,0.423728814,0.322033898
602R,0.830508475,0.508474576,0.610169492,0.593220339,0.457627119,0.389830508
602R,0.830508475,0.508474576,0.610169492,0.508474576,0.457627119,0.237288136
602R,0.830508475,0.677966102,0.610169492,0.644067797,0.271186441,0.372881356
602R,0.830508475,0.762711864,0.525423729,0.627118644,0.491525424,0.457627119
602R,0.745762712,0.576271186,0.559322034,0.627118644,0.237288136,0.372881356
602R,0.677966102,0.745762712,0.593220339,0.610169492,0.474576271,0.542372881
602R,0.745762712,0.559322034,0.593220339,0.593220339,0.457627119,0.389830508
602R,0.694915254,0.627118644,0.372881356,0.644067797,0.237288136,0.406779661
602R,0.813559322,0.627118644,0.576271186,0.644067797,0.237288136,0.406779661
602R,0.728813559,0.728813559,0.491525424,0.661016949,0.237288136,0.440677966
602R,0.728813559,0.745762712,0.559322034,0.661016949,0.457627119,0.474576271
602R,0.762711864,0.610169492,0.457627119,0.610169492,0.440677966,0.440677966
602R,0.762711864,0.627118644,0.491525424,0.627118644,0.220338983,0.355932203
602R,0.86440678,0.627118644,0.525423729,0.661016949,0.220338983,0.305084746
602R,0.711864407,0.627118644,0.525423729,0.508474576,0.355932203,0.406779661
602R,0.86440678,0.745762712,0.525423729,0.627118644,0.525423729,0.288135593
602R,0.779661017,0.745762712,0.372881356,0.627118644,0.525423729,0.288135593
602R,0.745762712,0.661016949,0.491525424,0.627118644,0.152542373,0.288135593
602R,0.830508475,0.745762712,0.457627119,0.661016949,0.508474576,0.203389831
602R,0.728813559,0.644067797,0.389830508,0.644067797,0.186440678,0.423728814
602R,0.728813559,0.745762712,0.525423729,0.661016949,0.491525424,0.389830508
602R,0.779661017,0.711864407,0.440677966,0.644067797,0.491525424,0.389830508
602R,0.762711864,0.677966102,0.440677966,0.644067797,0.440677966,0.440677966
602R,0.779661017,0.169491525,0.423728814,0.627118644,0.440677966,0.457627119
602R,0.745762712,0.169491525,0.423728814,0.627118644,0.440677966,0.457627119
603,0.576271186,0.644067797,0.542372881,0.576271186,0.389830508,0.406779661
603,0.627118644,0.728813559,0.440677966,0.593220339,0.508474576,0.576271186
603,0.610169492,0.542372881,0.440677966,0.644067797,0.491525424,0.440677966
603,0.610169492,0.745762712,0.644067797,0.508474576,0.542372881,0.474576271
603,0.677966102,0.745762712,0.644067797,0.508474576,0.542372881,0.474576271
